K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13799,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K13799,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K13799,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K13810,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13810,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K13810,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K13810,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K13811,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K13811,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K13811,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K13811,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13812,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K13812,680,Metabolism ,Energy metabolism,Methane metabolism 
K13815,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13815,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13816,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13816,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13818,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K13820,2040,Cellular Processes ,Cell motility,Flagellar assembly 
K13821,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K13821,250,Metabolism ,Amino acid metabolism ,Alanine
K13829,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13831,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K13831,680,Metabolism ,Energy metabolism,Methane metabolism 
K13832,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13853,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13868,4974,Organismal Systems,Digestive system,Protein digestion and absorption 
K13873,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K13874,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K13875,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K13876,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K13889,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13890,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13891,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13892,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13893,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13894,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13895,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13896,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13909,4970,Organismal Systems,Digestive system,Salivary secretion 
K13911,4970,Organismal Systems,Digestive system,Salivary secretion 
K13919,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13920,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13921,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13922,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13923,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13924,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K13924,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13927,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13938,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K13938,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K13940,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K13941,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K13942,680,Metabolism ,Energy metabolism,Methane metabolism 
K13950,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K13953,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13953,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K13953,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K13953,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K13953,830,Metabolism ,Metabolism of cofactors and vitamins,Retinol metabolism 
K13953,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K13953,626,Metabolism ,Xenobiotics biodegradation and metabolism,Naphthalene degradation 
K13953,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K13953,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K13954,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13954,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K13954,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K13954,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K13954,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K13954,626,Metabolism ,Xenobiotics biodegradation and metabolism,Naphthalene degradation 
K13963,5146,Human Diseases,Infectious disease: parasitic,Amoebiasis 
K13967,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13979,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K13979,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K13979,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K13985,4723,Organismal Systems,Nervous system,Retrograde endocannabinoid signaling 
K13990,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K13990,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K13991,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13993,4141,Genetic Information Processing ,Folding,Protein processing in endoplasmic reticulum 
K13995,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K14028,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K14028,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K14028,680,Metabolism ,Energy metabolism,Methane metabolism 
K14028,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K14029,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K14029,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K14029,680,Metabolism ,Energy metabolism,Methane metabolism 
K14029,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K14048,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K14048,5120,Human Diseases,Infectious disease: bacterial ,Epithelial cell signaling in Helicobacter pylori infection 
K14048,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K14048,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K14051,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K14051,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K14067,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K14067,680,Metabolism ,Energy metabolism,Methane metabolism 
K14080,680,Metabolism ,Energy metabolism,Methane metabolism 
K14081,680,Metabolism ,Energy metabolism,Methane metabolism 
K14083,680,Metabolism ,Energy metabolism,Methane metabolism 
K14084,680,Metabolism ,Energy metabolism,Methane metabolism 
K14126,680,Metabolism ,Energy metabolism,Methane metabolism 
K14127,680,Metabolism ,Energy metabolism,Methane metabolism 
K14128,680,Metabolism ,Energy metabolism,Methane metabolism 
K14138,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K14152,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K14153,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K14155,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K14155,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K14159,3030,Genetic Information Processing ,Replication and Repair ,DNA replication 
K14159,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K14159,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K14164,970,Genetic Information Processing ,Translation,Aminoacyl-tRNA biosynthesis 
K14170,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K14187,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K14187,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K14188,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K14188,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14188,473,Metabolism ,Metabolism of other amino acids,D-Alanine metabolism 
K14188,2020,Environmental Information Processing,Signal transduction,Two-component system 
K14192,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14194,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14195,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14196,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14197,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14198,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K14198,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14199,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14201,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14203,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14204,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14205,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K14205,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K14205,2020,Environmental Information Processing,Signal transduction,Two-component system 
K14211,4974,Organismal Systems,Digestive system,Protein digestion and absorption 
K14215,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K14250,1057,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of type II polyketide products 
K14250,253,Metabolism ,Metabolism of terpenoids and polyketides,Tetracycline biosynthesis 
K14252,1057,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of type II polyketide products 
K14252,253,Metabolism ,Metabolism of terpenoids and polyketides,Tetracycline biosynthesis 
K14257,404,Metabolism ,Biosynthesis of other secondary metabolites,Staurosporine biosynthesis 
K14257,1057,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of type II polyketide products 
K14257,253,Metabolism ,Metabolism of terpenoids and polyketides,Tetracycline biosynthesis 
K14259,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K14259,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K14260,250,Metabolism ,Amino acid metabolism ,Alanine
K14260,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K14260,290,Metabolism ,Amino acid metabolism ,Valine
K14266,404,Metabolism ,Biosynthesis of other secondary metabolites,Staurosporine biosynthesis 
K14267,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K14268,250,Metabolism ,Amino acid metabolism ,Alanine
K14268,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K14268,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K14274,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K14275,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K14297,5164,Human Diseases,Infectious disease: viral ,Influenza A 
K14297,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K14297,3013,Genetic Information Processing ,Translation,RNA transport 
K14317,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K14317,3013,Genetic Information Processing ,Translation,RNA transport 
K14325,3013,Genetic Information Processing ,Translation,RNA transport 
K14325,3015,Genetic Information Processing ,Translation,mRNA surveillance pathway 
K14333,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K14333,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K14335,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K14337,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K14338,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K14338,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K14338,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K14339,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K14340,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K14368,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14368,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14369,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14371,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14371,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14372,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14372,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14373,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14373,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14374,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14374,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
K14375,1052,Metabolism ,Metabolism of terpenoids and polyketides,Type I polyketide structures 
K14375,522,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of 12-
